Sequence,Geo-X,Geo-Y,Geo-Z,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-z
2,0.677535,-1.126267,-0.559866,-0.003194,-0.997023,0.028619,-0.858316,-0.261763,-0.656482
3,0.661431,-1.116692,-0.572946,-0.006405,-0.993007,0.019786,-0.354806,-0.45056,-0.404801
4,0.661431,-1.116692,-0.572946,-0.008816,-1.000236,0.022997,-0.480721,-0.513443,-0.908311
5,0.666032,-1.131054,-0.57033,0.00002,-1.001842,0.011755,-0.543603,-0.135848,-0.278886
6,0.672934,-1.116692,-0.575562,-0.003194,-0.988992,0.027013,-0.73255,-0.387677,-0.719514
7,0.661431,-1.126267,-0.575562,0.004035,-1.012282,0.025408,-0.73255,-0.387677,-0.593599
8,0.666032,-1.123873,-0.552017,0.002428,-0.993007,-0.001898,-0.921348,-0.072965,-0.593599
9,0.668332,-1.135842,-0.588643,0.001626,-1.002645,0.021393,-0.103125,-0.072965,-0.719514
10,0.668332,-1.135842,-0.588643,-0.01042,-0.993812,-0.001095,-0.166008,-0.198731,-0.593599
11,0.663731,-1.135842,-0.559866,-0.003194,-0.993007,0.018982,0.148705,-0.072965,-0.404801
12,0.675234,-1.126267,-0.580795,0.002428,-0.995418,0.022997,-0.480721,-0.261763,-0.719514
13,0.666032,-1.119086,-0.557249,0.001626,-0.992205,0.039863,-0.354806,-0.135848,-0.593599
14,0.661431,-1.119086,-0.567714,-0.006405,-0.993007,0.008542,-0.166008,0.05295,-0.719514
15,0.666032,-1.121479,-0.59126,-0.003194,-0.995418,0.009346,-0.480721,0.05295,-0.593599
16,0.652228,-1.123873,-0.580795,0.001626,-0.98819,0.022997,-0.543603,-0.072965,-1.034226
17,0.652228,-1.123873,-0.580795,0.000822,-0.999434,0.028619,-0.354806,-0.198731,-0.593599
18,0.661431,-1.111904,-0.575562,-0.0048,-0.997827,0.017377,-0.103125,-0.009933,-0.593599
19,0.65913,-1.131054,-0.57033,0.003231,-1.000236,0.00774,-0.606635,0.115982,-0.593599
20,0.661431,-1.123873,-0.580795,-0.003194,-1.001038,0.030226,-0.858316,-0.45056,-0.467684
21,0.661431,-1.123873,-0.565098,-0.002389,-1.005054,0.014164,-0.543603,-0.387677,-0.216004
22,0.654529,-1.119086,-0.557249,-0.008011,-1.003449,0.027013,-0.480721,0.05295,-0.278886
23,0.654529,-1.119086,-0.557249,-0.008011,-0.999434,0.016573,-0.291923,0.05295,-0.656482
24,0.65913,-1.135842,-0.586027,-0.001587,-0.999434,0.032635,-0.228891,-0.387677,-0.404801
25,0.645326,-1.126267,-0.572946,-0.0048,-0.998629,0.027817,-0.669518,-0.198731,-0.719514
26,0.661431,-1.131054,-0.565098,-0.001587,-0.991403,0.014966,-0.354806,-0.70239,-0.278886
27,0.654529,-1.131054,-0.567714,-0.008816,-0.993007,0.027817,-1.173028,0.05295,-0.782397
28,0.65913,-1.126267,-0.541552,0.008853,-1.009069,0.00292,-0.858316,-0.324646,-0.845429
29,0.663731,-1.119086,-0.554633,-0.000785,-0.998629,0.010951,-0.228891,-0.261763,-0.593599
30,0.663731,-1.119086,-0.554633,-0.001587,-0.997827,0.027013,-0.480721,-0.324646,-0.467684
31,0.661431,-1.131054,-0.562482,-0.003194,-0.987385,0.01818,-0.417838,-0.261763,-0.971194
32,0.663731,-1.135842,-0.565098,-0.000785,-0.993007,0.027013,-0.228891,-0.45056,-0.404801
33,0.656829,-1.126267,-0.565098,-0.014436,-0.997023,0.015771,-0.606635,-0.072965,-0.530716
34,0.661431,-1.126267,-0.565098,-0.003194,-0.984976,0.023802,-0.103125,0.05295,-0.467684
35,0.675234,-1.126267,-0.549401,-0.006405,-0.994614,0.017377,-0.417838,-0.198731,-0.782397
36,0.675234,-1.126267,-0.549401,-0.009618,-1.00666,0.009346,-0.040093,-0.072965,-0.467684
37,0.663731,-1.128661,-0.565098,-0.008011,-1.002645,0.032635,-0.606635,-0.198731,-0.593599
38,0.666032,-1.128661,-0.554633,-0.013633,-0.997827,0.009346,-0.543603,-0.072965,-0.530716
39,0.656829,-1.135842,-0.552017,-0.007209,-1.001038,0.008542,-0.480721,-0.009933,-0.404801
40,0.668332,-1.140629,-0.583411,0.002428,-1.003449,0.003724,-1.047263,-0.387677,-0.404801
41,0.666032,-1.128661,-0.565098,-0.001587,-0.997023,0.025408,-0.354806,0.05295,-0.845429
42,0.666032,-1.128661,-0.565098,-0.005602,-0.993812,0.014164,-0.480721,-0.072965,-0.656482
43,0.668332,-1.121479,-0.559866,-0.007209,-0.993007,0.017377,-0.606635,-0.009933,-0.467684
44,0.670633,-1.133448,-0.565098,-0.003996,-0.997023,0.016573,-0.480721,-0.135848,-0.656482
45,0.666032,-1.133448,-0.575562,0.001626,-0.997827,0.047092,-0.543603,-0.576475,-0.908311
46,0.656829,-1.128661,-0.578179,-0.001587,-0.989796,0.032635,-0.543603,-0.261763,-0.845429
47,0.661431,-1.128661,-0.578179,-0.008011,-0.984174,0.004527,-0.921348,-0.576475,-0.152972
48,0.661431,-1.138236,-0.562482,-0.005602,-0.994614,0.027817,-0.795433,-0.135848,-0.908311
49,0.661431,-1.138236,-0.562482,-0.003996,-0.999434,0.03665,-0.921348,0.05295,-0.341769
50,0.661431,-1.138236,-0.572946,-0.005602,-1.002645,0.025408,-0.291923,-0.387677,-1.034226
51,0.65913,-1.138236,-0.557249,-0.002389,-0.993812,0.021393,-0.480721,-0.513443,-0.593599
52,0.65913,-1.135842,-0.578179,-0.017649,-1.004251,0.00774,-0.480721,-0.198731,-0.782397
53,0.668332,-1.135842,-0.565098,-0.01042,-0.996221,0.021393,-0.669518,-0.639358,-0.341769
54,0.663731,-1.133448,-0.57033,-0.002389,-1.013085,0.021393,-0.669518,-0.324646,-0.467684
55,0.663731,-1.133448,-0.57033,0.00002,-0.982567,0.006133,-0.795433,-0.009933,-0.341769
56,0.661431,-1.128661,-0.546784,-0.008816,-0.992205,0.023802,-0.228891,-0.324646,-0.341769
57,0.65913,-1.128661,-0.575562,-0.001587,-0.996221,0.004527,-0.103125,-0.135848,-0.971194
58,0.652228,-1.128661,-0.580795,0.002428,-0.998629,0.027013,-0.166008,-0.135848,-0.782397
59,0.666032,-1.121479,-0.565098,-0.003194,-1.003449,0.029424,-0.166008,-0.261763,-0.782397
60,0.661431,-1.128661,-0.567714,-0.003194,-0.994614,0.010149,-0.669518,-0.135848,-0.530716
61,0.65913,-1.123873,-0.546784,-0.0048,-0.995418,0.019786,-0.669518,-0.70239,-0.467684
62,0.65913,-1.123873,-0.546784,0.001626,-0.999434,0.015771,-0.480721,-0.387677,-0.530716
63,0.652228,-1.119086,-0.559866,-0.009618,-0.998629,0.006133,-0.480721,-0.261763,-0.593599
64,0.656829,-1.131054,-0.557249,-0.008011,-0.993812,0.027817,-0.417838,-0.387677,-0.719514
65,0.654529,-1.119086,-0.572946,0.009657,-1.002645,0.004527,-0.354806,-0.072965,-0.152972
66,0.666032,-1.131054,-0.552017,-0.001587,-0.997023,0.017377,-0.480721,-0.45056,-0.656482
67,0.670633,-1.121479,-0.531087,-0.007209,-0.996221,0.033439,-0.480721,-0.135848,-0.656482
68,0.670633,-1.121479,-0.531087,-0.005602,-0.988992,0.012558,-0.73255,-0.387677,-0.593599
69,0.661431,-1.119086,-0.580795,-0.007209,-0.993007,0.051108,-0.480721,-0.135848,-0.216004
70,0.65913,-1.121479,-0.562482,-0.003194,-0.991403,0.016573,-0.417838,-0.009933,-0.908311
71,0.65913,-1.107117,-0.549401,-0.009618,-0.993812,0.016573,-0.480721,-0.198731,-0.278886
72,0.661431,-1.119086,-0.546784,0.001626,-0.999434,0.022195,-0.480721,-0.387677,-1.034226
73,0.661431,-1.133448,-0.541552,0.006444,-0.995418,0.020588,-0.73255,0.05295,-0.530716
74,0.661431,-1.133448,-0.541552,-0.009618,-0.997023,0.012558,-0.795433,-0.072965,-0.090089
75,0.668332,-1.135842,-0.557249,0.001626,-1.005858,0.015771,-0.795433,-0.072965,-0.278886
76,0.672934,-1.121479,-0.572946,-0.003194,-1.000236,0.027817,-0.73255,-0.198731,-0.719514
77,0.65913,-1.135842,-0.562482,-0.003194,-0.988992,-0.003504,-0.040093,-0.198731,-0.216004
78,0.661431,-1.133448,-0.565098,0.007248,-1.003449,0.012558,-0.166008,0.178865,-0.152972
79,0.661431,-1.121479,-0.562482,-0.008816,-1.003449,0.014164,-0.228891,-0.072965,-0.278886
80,0.666032,-1.123873,-0.575562,-0.001587,-0.997827,0.040666,-0.480721,-0.324646,-0.467684
81,0.666032,-1.123873,-0.575562,-0.001587,-0.997827,0.021393,-0.291923,0.05295,-0.341769
82,0.668332,-1.123873,-0.559866,-0.003996,-0.993812,0.016573,-0.606635,0.05295,-0.845429
83,0.663731,-1.121479,-0.575562,0.002428,-1.001842,0.014164,-0.291923,-0.198731,-0.404801
84,0.666032,-1.123873,-0.580795,-0.007209,-0.98819,0.005331,-0.543603,-0.45056,-0.845429
85,0.670633,-1.121479,-0.572946,-0.001587,-1.005858,0.026211,-0.73255,-0.198731,-0.656482
86,0.668332,-1.123873,-0.575562,-0.008011,-0.997827,0.009346,-0.606635,-0.513443,-0.341769
87,0.668332,-1.123873,-0.575562,-0.003194,-1.005858,0.047092,-0.73255,-0.639358,-0.404801
88,0.663731,-1.119086,-0.557249,-0.003996,-1.005054,0.021393,-0.417838,0.178865,-0.719514
89,0.661431,-1.119086,-0.544168,0.004035,-0.997827,0.01818,0.02279,-0.135848,-0.845429
90,0.666032,-1.123873,-0.580795,-0.001587,-0.993007,0.018982,-0.228891,-0.261763,-0.530716
91,0.661431,-1.131054,-0.562482,-0.01042,-0.997827,0.027817,-0.228891,-0.072965,-0.782397
92,0.670633,-1.131054,-0.557249,-0.000785,-0.997827,0.030226,-0.354806,-0.324646,-0.719514
93,0.670633,-1.131054,-0.557249,-0.006405,-0.995418,0.018982,-0.606635,-0.45056,-0.845429
94,0.661431,-1.140629,-0.562482,0.007248,-0.997023,0.019786,-0.543603,-0.009933,-0.782397
95,0.666032,-1.128661,-0.588643,-0.003194,-0.997827,0.018982,-0.606635,-0.324646,-0.908311
96,0.661431,-1.133448,-0.549401,-0.001587,-0.989796,0.001313,-0.417838,-0.45056,-0.404801
97,0.666032,-1.123873,-0.546784,-0.005602,-1.002645,0.045486,0.148705,-0.072965,-0.152972
98,0.666032,-1.123873,-0.554633,-0.005602,-0.989796,0.015771,-0.291923,-0.072965,-0.782397
99,0.656829,-1.121479,-0.562482,-0.008011,-0.994614,-0.004307,-0.606635,-0.198731,-0.719514
100,0.656829,-1.121479,-0.562482,0.006444,-1.004251,0.009346,-0.795433,-0.324646,-0.782397
101,0.666032,-1.111904,-0.552017,-0.0048,-0.997023,0.015771,-0.73255,-0.324646,-0.467684
102,0.654529,-1.114298,-0.557249,0.004837,-0.987385,0.027013,-0.480721,-0.324646,-0.467684
103,0.656829,-1.111904,-0.559866,-0.003194,-1.003449,0.003724,-0.228891,-0.198731,-0.467684
104,0.663731,-1.116692,-0.554633,-0.012831,-1.000236,-0.010733,-0.291923,0.304779,-0.908311
105,0.656829,-1.111904,-0.572946,0.006444,-0.995418,0.012558,-0.858316,0.05295,-0.719514
106,0.656829,-1.111904,-0.572946,-0.007209,-0.986583,0.010951,-0.354806,-0.072965,-0.530716
107,0.65913,-1.123873,-0.578179,-0.007209,-0.990598,0.01818,-1.110146,-0.387677,-0.782397
108,0.666032,-1.123873,-0.567714,0.007248,-1.000236,0.022997,-0.73255,-0.324646,-0.719514
109,0.65913,-1.126267,-0.565098,-0.008011,-1.004251,-0.001898,-0.291923,-0.072965,-0.971194
110,0.652228,-1.10951,-0.59126,-0.008011,-0.993812,0.004527,-0.354806,-0.135848,-0.593599
111,0.654529,-1.10951,-0.586027,-0.007209,-0.997023,0.006935,-0.606635,0.115982,-0.341769
112,0.649927,-1.114298,-0.559866,-0.016847,-0.997827,0.028619,-0.480721,-0.261763,-0.593599
113,0.649927,-1.114298,-0.559866,0.008051,-0.988992,0.003724,-0.606635,-0.70239,-1.160141
114,0.645326,-1.121479,-0.549401,-0.000785,-1.007465,0.020588,-0.73255,-0.45056,-0.782397
115,0.647627,-1.126267,-0.599108,-0.003194,-1.001842,0.000511,-0.166008,0.367662,-0.467684
116,0.656829,-1.121479,-0.572946,0.006444,-0.997023,0.014164,-0.354806,-0.513443,-0.404801
117,0.656829,-1.126267,-0.578179,-0.016042,-0.98819,0.018982,-0.228891,-0.198731,-0.908311
118,0.654529,-1.123873,-0.580795,0.00002,-0.999434,0.022997,-0.228891,0.241748,-0.530716
119,0.654529,-1.123873,-0.580795,0.002428,-0.993812,-0.001898,-0.228891,-0.009933,-0.278886
120,0.652228,-1.10951,-0.57033,-0.0048,-1.007465,0.015771,-0.606635,0.05295,-0.908311
121,0.65913,-1.121479,-0.552017,-0.000785,-0.995418,0.013362,-1.047263,0.05295,-0.404801
122,0.652228,-1.126267,-0.578179,-0.006405,-0.991403,0.013362,-0.543603,0.05295,-0.656482
123,0.652228,-1.123873,-0.586027,0.005642,-1.013085,0.023802,-0.417838,-0.135848,-0.467684
124,0.65913,-1.116692,-0.572946,0.008853,-1.00666,0.025408,-0.228891,-0.072965,-0.719514
125,0.65913,-1.116692,-0.572946,-0.007209,-0.997023,0.030226,-0.480721,-0.009933,-0.782397
126,0.661431,-1.111904,-0.575562,-0.003194,-0.994614,0.013362,0.085822,-0.198731,-0.467684
127,0.654529,-1.119086,-0.578179,-0.0048,-1.001038,0.008542,-0.795433,-0.135848,-0.341769
128,0.649927,-1.126267,-0.575562,0.000822,-0.999434,0.020588,-0.480721,-0.261763,-0.530716
