Sequence,Geo-X,Geo-Y,Geo-Z,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-z
2,-0.986592,0.130175,0.210427,-1.035606,0.00763,0.097577,1.344681,3.107041,4.051179
3,-0.977317,0.142341,0.223336,-1.032394,0.010039,0.101592,1.596361,3.295839,4.491806
4,-0.981954,0.137474,0.207845,-1.028379,0.002008,0.087939,1.785308,3.736466,4.428923
5,-0.991229,0.14964,0.17428,-1.044441,0.015661,0.136127,1.407564,3.610551,4.806519
6,-0.991229,0.14964,0.17428,-1.029984,0.012448,0.127292,1.533478,3.736466,4.051179
7,-0.981954,0.144774,0.200099,-1.027575,0.011645,0.10079,0.966936,3.358871,4.239976
8,-0.986592,0.147207,0.218172,-1.030788,0.005219,0.104001,1.344681,3.610551,3.988296
9,-0.981954,0.14964,0.220755,-1.029984,0.014856,0.089546,1.029968,3.736466,4.114211
10,-0.981954,0.14964,0.220755,-1.034803,0.013252,0.112836,1.470596,3.547668,4.743636
11,-0.98891,0.147207,0.210427,-1.038016,0.019676,0.12167,1.218766,3.925264,4.051179
12,-0.98891,0.147207,0.210427,-1.042032,0.01807,0.12408,0.904053,3.358871,4.428923
13,-0.977317,0.139907,0.210427,-1.034803,0.016463,0.130505,1.155883,3.484786,4.680604
14,-0.97268,0.137474,0.225918,-1.03159,0.009234,0.107214,0.904053,3.862381,4.114211
15,-0.984273,0.139907,0.207845,-1.03641,0.011645,0.114443,1.470596,3.547668,4.554689
16,-0.984273,0.14964,0.197517,-1.038819,0.013252,0.125685,1.029968,3.736466,4.303008
17,-0.993548,0.152073,0.231082,-1.035606,0.006023,0.09035,1.407564,3.736466,4.114211
18,-0.98891,0.142341,0.223336,-1.029984,0.021283,0.12408,1.407564,2.918243,4.177094
19,-0.98891,0.142341,0.223336,-1.035606,0.019676,0.118458,1.344681,3.925264,4.554689
20,-0.981954,0.147207,0.205263,-1.026772,0.018872,0.125685,1.029968,3.358871,4.428923
21,-0.986592,0.137474,0.194935,-1.03159,0.00763,0.105608,1.344681,3.044158,3.673583
22,-0.98891,0.142341,0.207845,-1.029181,0.011645,0.106412,1.092851,3.547668,4.177094
23,-0.993548,0.14964,0.2285,-1.048456,0.013252,0.112032,1.407564,3.232956,4.365891
24,-0.968042,0.139907,0.233664,-1.035606,0.003614,0.116049,1.344681,3.107041,4.114211
25,-0.974998,0.144774,0.218172,-1.038819,0.009234,0.101592,1.407564,3.925264,4.303008
26,-0.974998,0.144774,0.218172,-1.033999,0.014054,0.101592,1.407564,3.295839,4.239976
27,-0.977317,0.142341,0.225918,-1.029984,0.015661,0.108017,1.407564,3.484786,4.743636
28,-0.984273,0.135041,0.2285,-1.032394,0.008432,0.112032,1.533478,3.421754,3.988296
29,-0.991229,0.144774,0.238828,-1.023559,-0.000401,0.114443,1.659393,3.232956,4.428923
30,-0.981954,0.132608,0.246574,-1.03641,0.005219,0.130505,1.407564,3.421754,4.303008
31,-0.984273,0.132608,0.24141,-1.038819,0.009234,0.104805,1.092851,3.232956,4.239976
32,-0.984273,0.132608,0.24141,-1.039621,0.018872,0.113639,1.596361,3.547668,3.862381
33,-0.986592,0.139907,0.21559,-1.042032,0.009234,0.120867,1.848191,3.421754,4.491806
34,-0.991229,0.156939,0.210427,-1.029181,0.016463,0.108017,1.155883,3.799498,4.554689
35,-0.977317,0.152073,0.207845,-1.032394,0.010039,0.120867,1.407564,3.170073,4.428923
36,-0.979636,0.144774,0.213009,-1.025166,0.005219,0.126489,1.533478,3.610551,4.303008
37,-0.977317,0.14964,0.220755,-1.034803,0.011645,0.117654,1.470596,3.547668,4.365891
38,-0.974998,0.147207,0.223336,-1.033999,0.014054,0.113639,1.407564,3.484786,4.365891
39,-0.974998,0.147207,0.223336,-1.035606,0.006826,0.09597,1.407564,3.547668,4.177094
40,-0.968042,0.159373,0.207845,-1.029181,0.015661,0.073484,1.281649,3.421754,4.554689
41,-0.974998,0.154506,0.223336,-1.03641,0.008432,0.122474,1.344681,3.673583,4.428923
42,-0.981954,0.154506,0.218172,-1.021953,0.003614,0.115245,1.281649,3.736466,4.239976
43,-0.974998,0.139907,0.210427,-1.033999,0.013252,0.123276,1.155883,3.107041,4.051179
44,-0.974998,0.144774,0.223336,-1.033197,0.010039,0.104001,1.407564,3.358871,4.303008
45,-0.974998,0.144774,0.223336,-1.034803,0.010841,0.107214,1.407564,3.673583,3.799498
46,-0.986592,0.139907,0.207845,-1.041228,0.004417,0.108017,1.218766,3.673583,4.554689
47,-0.979636,0.14964,0.2285,-1.03641,0.014856,0.098381,1.596361,3.610551,4.932433
48,-0.977317,0.14964,0.21559,-1.041228,0.016463,0.113639,1.029968,3.610551,4.365891
49,-0.979636,0.14964,0.218172,-1.033999,0.014856,0.112032,1.470596,3.107041,4.114211
50,-0.97268,0.156939,0.210427,-1.029181,0.005219,0.112032,1.281649,3.610551,3.736466
51,-0.977317,0.14964,0.200099,-1.025968,0.01807,0.104001,1.092851,3.421754,4.303008
52,-0.977317,0.14964,0.200099,-1.041228,0.008432,0.112032,1.407564,3.421754,4.239976
53,-0.979636,0.14964,0.207845,-1.026772,0.011645,0.120867,1.470596,3.170073,4.491806
54,-0.979636,0.144774,0.220755,-1.034803,0.008432,0.117654,1.092851,3.862381,4.177094
55,-0.986592,0.142341,0.205263,-1.018741,0.008432,0.138536,1.407564,3.358871,4.303008
56,-0.981954,0.14964,0.207845,-1.035606,0.016463,0.109623,0.715256,3.295839,4.428923
57,-0.979636,0.161806,0.205263,-1.018741,0.00281,0.106412,1.155883,3.484786,4.743636
58,-0.979636,0.161806,0.205263,-1.038016,0.014856,0.130505,1.596361,3.547668,4.051179
59,-0.979636,0.147207,0.223336,-1.041228,0.00763,0.12408,1.344681,3.295839,4.491806
60,-0.979636,0.147207,0.225918,-1.035606,0.006826,0.082317,1.281649,3.610551,4.177094
61,-0.974998,0.152073,0.225918,-1.045243,0.011645,0.099183,1.659393,3.421754,4.428923
62,-0.977317,0.154506,0.189771,-1.029181,0.014054,0.11123,1.659393,3.547668,4.239976
63,-0.984273,0.147207,0.218172,-1.038819,0.013252,0.097577,1.218766,3.610551,4.114211
64,-0.995866,0.152073,0.213009,-1.032394,-0.003614,0.117654,1.344681,3.358871,4.365891
65,-0.995866,0.152073,0.213009,-1.037212,0.012448,0.116049,1.344681,3.358871,4.491806
66,-0.974998,0.144774,0.213009,-1.025166,-0.001205,0.088743,0.966936,3.295839,3.736466
67,-0.974998,0.154506,0.205263,-1.03641,0.001204,0.117654,1.281649,3.107041,3.988296
68,-0.974998,0.135041,0.200099,-1.033197,0.010841,0.108821,1.029968,3.673583,4.177094
69,-0.995866,0.144774,0.218172,-1.035606,0.010841,0.104805,1.344681,3.295839,4.365891
70,-0.986592,0.147207,0.220755,-1.028379,0.010039,0.108821,1.659393,3.170073,4.239976
71,-0.986592,0.147207,0.220755,-1.028379,0.00763,0.137733,1.344681,3.358871,4.491806
72,-0.991229,0.154506,0.213009,-1.033197,0.008432,0.108821,1.596361,3.736466,4.743636
73,-0.984273,0.147207,0.210427,-1.037212,0.014054,0.10079,1.344681,3.421754,3.988296
74,-0.986592,0.147207,0.200099,-1.03159,0.005219,0.105608,1.155883,3.736466,4.491806
75,-0.991229,0.147207,0.225918,-1.038819,0.00763,0.103199,1.218766,3.484786,4.303008
76,-0.993548,0.152073,0.21559,-1.039621,0.015661,0.114443,1.281649,3.358871,4.365891
77,-0.993548,0.147207,0.218172,-1.039621,0.011645,0.114443,1.470596,3.862381,4.428923
78,-0.993548,0.147207,0.218172,-1.037212,0.00281,0.117654,1.407564,3.295839,4.303008
79,-0.986592,0.152073,0.218172,-1.044441,0.015661,0.092759,1.092851,3.547668,4.114211
80,-0.984273,0.154506,0.225918,-1.035606,0.006826,0.116049,1.533478,3.421754,3.925264
81,-0.986592,0.147207,0.2285,-1.033999,0.022085,0.128096,1.155883,3.673583,3.862381
82,-0.991229,0.156939,0.233664,-1.033999,0.009234,0.079908,1.407564,3.673583,4.114211
83,-0.98891,0.14964,0.2285,-1.033197,0.008432,0.105608,0.966936,3.421754,4.051179
84,-0.98891,0.14964,0.236246,-1.040425,0.010841,0.113639,1.281649,3.736466,4.365891
85,-0.98891,0.14964,0.236246,-1.037212,0.012448,0.115245,1.407564,3.421754,4.428923
86,-0.986592,0.152073,0.21559,-1.038016,0.014856,0.128096,1.722276,3.799498,4.491806
87,-0.98891,0.156939,0.21559,-1.030788,0.01807,0.112836,1.281649,3.673583,4.743636
88,-0.98891,0.147207,0.202681,-1.033197,0.00281,0.103199,1.281649,2.981126,3.736466
89,-0.986592,0.152073,0.207845,-1.038016,0.015661,0.12408,1.218766,3.421754,4.239976
90,-0.984273,0.159373,0.225918,-1.03159,0.00281,0.096774,1.281649,3.295839,4.743636
91,-0.984273,0.159373,0.225918,-1.038819,0.014856,0.101592,1.407564,3.232956,4.239976
92,-0.986592,0.144774,0.213009,-1.037212,0.010039,0.106412,1.596361,3.295839,3.925264
93,-0.984273,0.14964,0.238828,-1.038819,0.008432,0.114443,1.596361,3.358871,4.177094
94,-0.981954,0.137474,0.202681,-1.032394,0.00763,0.101592,1.533478,3.925264,4.051179
95,-0.981954,0.152073,0.207845,-1.044441,0.018872,0.12408,0.778139,3.610551,4.617721
96,-0.984273,0.147207,0.225918,-1.034803,0.014856,0.1297,1.218766,3.547668,4.365891
