Sequence,Geo-X,Geo-Y,Geo-Z,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-z
2,1.791168,0.037714,-1.230285,-0.0518,0.03654,-0.803509,1.344681,3.610551,4.428923
3,1.779575,0.037714,-1.225121,-0.0518,0.04136,-0.80672,1.722276,3.421754,4.743636
4,1.781894,0.035281,-1.225121,-0.046982,0.046178,-0.836437,1.470596,3.295839,4.680604
5,1.779575,0.042581,-1.243195,-0.047784,0.035738,-0.828404,1.659393,3.421754,4.177094
6,1.786531,0.045014,-1.232867,-0.050195,0.035738,-0.800295,1.029968,3.610551,4.428923
7,1.774938,0.057179,-1.230285,-0.054211,0.035738,-0.80672,1.470596,3.421754,4.932433
8,1.779575,0.042581,-1.232867,-0.069468,0.030116,-0.792265,1.533478,3.925264,4.869551
9,1.779575,0.042581,-1.232867,-0.047784,0.035738,-0.833224,1.155883,3.610551,4.114211
10,1.781894,0.047447,-1.227703,-0.058226,0.049391,-0.832419,1.470596,3.484786,4.428923
11,1.777257,0.04988,-1.25094,-0.065453,0.053407,-0.809933,1.344681,3.421754,4.428923
12,1.793487,0.037714,-1.217375,-0.0518,0.03654,-0.831617,1.596361,3.358871,4.743636
13,1.784212,0.040147,-1.222539,-0.059029,0.046178,-0.821979,1.533478,3.547668,4.743636
14,1.774938,0.047447,-1.240613,-0.055013,0.043769,-0.837239,1.344681,3.484786,4.554689
15,1.777257,0.04988,-1.204466,-0.055013,0.042967,-0.83483,1.155883,3.610551,4.114211
16,1.777257,0.04988,-1.204466,-0.0518,0.034934,-0.823586,1.533478,3.484786,4.365891
17,1.774938,0.042581,-1.230285,-0.068666,0.046982,-0.827601,1.407564,3.295839,4.806519
18,1.781894,0.045014,-1.243195,-0.061437,0.040556,-0.822784,1.848191,3.295839,4.177094
19,1.777257,0.037714,-1.227703,-0.054211,0.04136,-0.805918,1.407564,3.295839,4.491806
20,1.78885,0.042581,-1.235449,-0.055815,0.034934,-0.834026,1.281649,3.862381,3.925264
21,1.78885,0.047447,-1.225121,-0.065453,0.056618,-0.838846,1.281649,3.736466,4.365891
22,1.78885,0.047447,-1.225121,-0.058226,0.043769,-0.821177,1.407564,3.925264,3.862381
23,1.781894,0.04988,-1.222539,-0.0518,0.042162,-0.819571,1.659393,3.988296,4.303008
24,1.784212,0.045014,-1.20963,-0.050195,0.044571,-0.835632,1.092851,3.862381,4.491806
25,1.786531,0.040147,-1.238031,-0.063848,0.042162,-0.829208,1.596361,3.547668,4.743636
26,1.781894,0.045014,-1.243195,-0.055815,0.028509,-0.812342,1.596361,3.295839,4.491806
27,1.774938,0.040147,-1.256104,-0.069468,0.042967,-0.828404,1.596361,3.547668,4.743636
28,1.772619,0.035281,-1.253522,-0.062242,0.030116,-0.798689,1.596361,3.736466,4.114211
29,1.772619,0.035281,-1.253522,-0.049391,0.034132,-0.810735,1.344681,3.736466,4.428923
30,1.786531,0.04988,-1.271596,-0.066257,0.038147,-0.841254,1.533478,3.484786,4.617721
31,1.786531,0.052313,-1.240613,-0.067864,0.045376,-0.828404,1.533478,3.925264,4.177094
32,1.793487,0.032848,-1.238031,-0.059029,0.042162,-0.808326,1.596361,3.484786,4.365891
